[details='Highest Alliance Sums']
|Year | Sum | Alliance | Event | Match | Color|
|--- | --- | --- | --- | --- | ---|
|2002 | 2904 | [950, 997, 957] | 2002wa | qf1 | blue|
|2003 | 2468 | [1238, 1230] | 2003ny | qf1 | blue|
|2004 | 7131 | [2119, 2974, 2038] | 2004va | sf3 | blue|
|2005 | 5059 | [1688, 1672, 1699] | 2005nj | qm10 | blue|
|2006 | 5860 | [1949, 1954, 1957] | 2006is | qm30 | red|
|2007 | 6638 | [2208, 2216, 2214] | 2007is | qf1 | red|
|2008 | 8003 | [2649, 2674, 2680] | 2008br | qm11 | red|
|2009 | 9293 | [3119, 3060, 3114] | 2009oc | qm37 | red|
|2010 | 10128 | [3366, 3409, 3353] | 2010da | qm51 | red|
|2011 | 11421 | [3839, 3754, 3828] | 2011dmn | qm23 | blue|
|2012 | 13196 | [4389, 4409, 4398] | 2012migl | qm14 | red|
|2013 | 14436 | [4745, 4848, 4843] | 2013arfa | qm5 | red|
|2014 | 15773 | [5231, 5260, 5282] | 2014mimid | qm34 | blue|
|2015 | 17109 | [5641, 5774, 5694] | 2015miket | qm66 | red|
|2016 | 18483 | [6138, 6137, 6208] | 2016milak | qm23 | blue|
|2017 | 20078 | [6676, 6694, 6708] | 2017mxtl | qm6 | blue|
|2018 | 21884 | [7291, 7297, 7296] | 2018tuis | qf1 | blue|
|2019 | 23531 | [7839, 7851, 7841] | 2019tuis2 | qm25 | red|
|2020 | 25026 | [8275, 8373, 8378] | 2020mijac | qm39 | red|
|2022 | 26558 | [8897, 8838, 8823] | 2022alhu | qm81 | red|
|2023 | 27784 | [9305, 9218, 9261] | 2023brbr | qm7 | red|
|2024 | 29072 | [9671, 9763, 9638] | 2024misjo | qm16 | red|
